old_name	 new_name
 Коцюбинського вулиця	вулиця Коцюбинського
---Захисників України провулок	провулок Захисників України
---Кузнецова вулиця	вулиця Кузнецова
??? 2-й Чайковського провулок	2-й провулок Чайковського
??? 3-й Чайковського провулок	3-й провулок Чайковського
«Партизанської іскри» вулиця	вулиця Партизанської Іскри
«Правди» вулиця	вулиця Правди
\Незалежності вулиця	вулиця Незалежності
1 Воєнна вулиця	1-ша Воєнна вулиця
1 Головний провулок	1-й Головний провулок
1 Грудня вулиця	вулиця 1 Грудня
1 Загребельний провулок	1-й Загребельний провулок
1 Ірпіньський провулок	1-й Ірпінський провулок
1 квартал	1-й квартал
1 Квітня вулиця	вулиця 1 Квітня
1 Кірова вулиця	1-ша вулиця Кірова
1 Красноградського Механічного Корпусу вулиця	вулиця 1-го Красноградського Механічного Корпусу
1 Листопада вулиця	вулиця 1 Листопада
1 лінія вулиця	вулиця 1-ша Лінія
1 лінія Сави Освященного вулиця	1-ша лінія Сави Освяченого
1 Махнівський провулок	1-й Махнівський провулок
1 Мая вулиця	вулиця 1 Травня
1 Мая провулок	провулок 1 Травня
1 Московський провулок	1-й Московський провулок
1 Набережна вулиця	1-ша Набережна вулиця
1 Нижня вулиця	1-ша Нижня вулиця
1 Ніжинський проїзд	1-й Ніжинський проїзд
1 Покровський провулок	1-й Покровський провулок
1 Поперечна вулиця	1-ша Поперечна вулиця
1 провулок Першотравневий	1-й Першотравневий провулок
1 ряд	1-й ряд
1 ряд Нижній Шувар	1-й ряд Нижній Шувар
1 Травня в'їзд	1 Травня вʼїзд
1 Травня в’їзд	1 Травня вʼїзд
1 Травня вулиця	1 Травня вулиця
1 Травня провулок	1 Травня провулок
1 шахтерский тупик	1 шахтерский тупик
1 Юрченків провулок	1 Юрченків провулок
1- Метростроевский	1- Метростроевский
1- Набережна вулиця	1- Набережна вулиця
1-а «А» лінія	1-а «А» лінія
1-а А Озерна вулиця	1-ша А Озерна вулиця
1-а Авангардна вулиця	1-ша Авангардна вулиця
1-а Азовська вулиця	1-ша Азовська вулиця
1-а аллея	1-а аллея
1-а Бабушкіна вулиця	1-ша Бабушкіна вулиця
1-а Берегова вулиця	1-ша Берегова вулиця
1-а Біломорська вулиця	1-ша Біломорська вулиця
1-а Будівельна вулиця	1-ша Будівельна вулиця
1-а Будівельників вулиця	1-ша Будівельників вулиця
1-а Бузкова вулиця	1-ша Бузкова вулиця
1-а Виноградна вулиця	1-ша Виноградна вулиця
1-а Висока вулиця	1-ша Висока вулиця
1-а Вишнева вулиця	1-ша Вишнева вулиця
1-а Віли вулиця	1-ша Віли вулиця
1-а Вінницька вулиця	1-ша Вінницька вулиця
1-а Вірьовчина вулиця	1-ша Вірьовчина вулиця
1-а Вітовська вулиця	1-ша Вітовська вулиця
1-а Водоп’янова вулиця	1-ша Водопʼянова вулиця
1-а Воєнна вулиця	1-ша Воєнна вулиця
1-а вулиця	1-ша вулиця
1-а Газопровідна вулиця	1-ша Газопровідна вулиця
1-а Галатовка вулиця	1-ша Галатовка вулиця
1-а Горіхова вулиця	1-ша Горіхова вулиця
1-а Горська вулиця	1-ша Горська вулиця
1-а Госпітальна вулиця	1-ша Госпітальна вулиця
1-а Дамбова вулиця	1-ша Дамбова вулиця
1-а Дачна вулиця	1-ша Дачна вулиця
1-а Деснянська вулиця	1-ша Деснянська вулиця
1-а Дзержинського вулиця	1-ша Дзержинського вулиця
1-а Дорожная	1-а Дорожная
1-а Дорожня вулиця	1-ша Дорожня вулиця
1-а Екіпажна вулиця	1-ша Екіпажна вулиця
1-а Ентузіастів вулиця	1-ша Ентузіастів вулиця
1-а Житомирська вулиця	1-ша Житомирська вулиця
1-а Заводська вулиця	1-ша Заводська вулиця
1-а Закрупець вулиця	1-ша Закрупець вулиця
1-а Заливна вулиця	1-ша Заливна вулиця
1-а Залізнична вулиця	1-ша Залізнична вулиця
1-а Заміська вулиця	1-ша Заміська вулиця
1-а Замостянська вулиця	1-ша Замостянська вулиця
1-а Заозерна вулиця	1-ша Заозерна вулиця
1-а Західна вулиця	1-ша Західна вулиця
1-а Заярська вулиця	1-ша Заярська вулиця
1-а Зелена вулиця	1-ша Зелена вулиця
1-а Ізотова вулиця	1-ша Ізотова вулиця
1-а Інгульська вулиця	1-ша Інгульська вулиця
1-а Кальчик вулиця	1-ша Кальчик вулиця
1-а Канальна вулиця	1-ша Канальна вулиця
1-а Київська вулиця	1-ша Київська вулиця
1-а Кільцева вулиця	1-ша Кільцева вулиця
1-а Кожевна вулиця	1-ша Кожевна вулиця
1-а Козацька вулиця	1-ша Козацька вулиця
1-а Кооперативна вулиця	1-ша Кооперативна вулиця
1-а Кордівка вулиця	1-ша Кордівка вулиця
1-а Коротка вулиця	1-ша Коротка вулиця
1-а Крейдова вулиця	1-ша Крейдова вулиця
1-а Левада вулиця	1-ша Левада вулиця
1-а Лиманна вулиця	1-ша Лиманна вулиця
1-а лінія	1-а лінія
1-а лінія вулиця	1-ша лінія вулиця
1-а Лінія вулиця	1-ша Лінія вулиця
1-а Лінія провулок	1-а Лінія провулок
1-а Лісна вулиця	1-ша Лісна вулиця
1-а Лісова вулиця	1-ша Лісова вулиця
1-а Лугова вулиця	1-ша Лугова вулиця
1-а Лучиста вулиця	1-ша Лучиста вулиця
1-а Мала вулиця	1-ша Мала вулиця
1-а Мар’янівська лінія	1-а Марʼянівська лінія
1-а Матросова вулиця	1-ша Матросова вулиця
1-а Менделєєва вулиця	1-ша Менделєєва вулиця
1-а Мирна вулиця	1-ша Мирна вулиця
1-а Мурейки вулиця	1-ша Мурейки вулиця
1-а Набережна вулиця	1-ша Набережна вулиця
1-а Набережна р. Стрілка вулиця	1-ша Набережна р. Стрілка вулиця
1-а Нагорна вулиця	1-ша Нагорна вулиця
1-а Наскрізна вулиця	1-ша Наскрізна вулиця
1-а Нова вулиця	1-ша Нова вулиця
1-а Новопоселенська вулиця	1-ша Новопоселенська вулиця
1-а Озерна вулиця	1-ша Озерна вулиця
1-а Олександрівка вулиця	1-ша Олександрівка вулиця
1-а Отрадна вулиця	1-ша Отрадна вулиця
1-а Партизанська вулиця	1-ша Партизанська вулиця
1-а Переселенці вулиця	1-ша Переселенці вулиця
1-а Пересипська вулиця	1-ша Пересипська вулиця
1-а Першотравнева вулиця	1-ша Першотравнева вулиця
1-а Південна вулиця	1-ша Південна вулиця
1-а Північна вулиця	1-ша Північна вулиця
1-а Піщана вулиця	1-ша Піщана вулиця
1-а Повздовжня вулиця	1-ша Повздовжня вулиця
1-а Ползунова вулиця	1-ша Ползунова вулиця
1-а Польова вулиця	1-ша Польова вулиця
1-а Поперечна вулиця	1-ша Поперечна вулиця
1-а Поштова вулиця	1-ша Поштова вулиця
1-а Придніпровська вулиця	1-ша Придніпровська вулиця
1-а Приміська вулиця	1-ша Приміська вулиця
1-а Приозерна вулиця	1-ша Приозерна вулиця
1-а Продольна вулиця	1-ша Продольна вулиця
1-а Проектна вулиця	1-ша Проектна вулиця
1-а Проїзна вулиця	1-ша Проїзна вулиця
1-а Промислова вулиця	1-ша Промислова вулиця
1-а Радгоспна вулиця	1-ша Радгоспна вулиця
1-а Радіозаводська вулиця	1-ша Радіозаводська вулиця
1-а Радянська вулиця	1-ша Радянська вулиця
1-а Райдужна вулиця	1-ша Райдужна вулиця
1-а Рибна вулиця	1-ша Рибна вулиця
1-а Річкова вулиця	1-ша Річкова вулиця
1-а Річна вулиця	1-ша Річна вулиця
1-а Робітнича вулиця	1-ша Робітнича вулиця
1-а Садибна вулиця	1-ша Садибна вулиця
1-а Садова вулиця	1-ша Садова вулиця
1-а Садовая вулиця	1-ша Садовая вулиця
1-а Севастопольська вулиця	1-ша Севастопольська вулиця
1-а Синьоозерна вулиця	1-ша Синьоозерна вулиця
1-а Січова вулиця	1-ша Січова вулиця
1-а Слобідська вулиця	1-ша Слобідська вулиця
1-а Слов’янська вулиця	1-ша Словʼянська вулиця
1-а Сортовипробувальна вулиця	1-ша Сортовипробувальна вулиця
1-а Сортувальна вулиця	1-ша Сортувальна вулиця
1-а ст. Люстдорфської дороги	1-а ст. Люстдорфської дороги
1-а Станційна вулиця	1-ша Станційна вулиця
